| Sr  | Circular No.                      | Date                 | Subject                                                                                                                                                                           |
|-----|-----------------------------------|----------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| No. |                                   |                      |                                                                                                                                                                                   |
| 134 | DBOD.No.GCS.BC.60/<br>C.486-74   | February 20,<br>1974  | Progressive Use of Hindi in Banks<br>Preparation<br>of<br>a<br>Phased<br>Programme for the Year 1974-75                                                                                                                  |
| 135 | DBOD.No.Hin.BC.87/<br>C.486-74   | September 17,<br>1974 | Progressive Use of Hindi in Banks                                                                                                                                                                                        |
| 136 | DBOD No.Hin.BC.105/<br>C.486-74  | October 11,<br>1974   | Use of Hindi in Banks                                                                                                                                                                                                    |
| 137 | DBOD.No.Hin.BC.123/<br>C.486-74  | December 07,<br>1974  | Translation<br>of<br>Statutory/Non<br>Statutory<br>Documents<br>and<br>Procedural Literature etc. in Hindi                                                                                                               |
| 138 | DBOD.Hin.BC.15/<br>C.486-75      | February 25,<br>1975  | Use<br>of<br>Hindi<br>in<br>Banks<br>-<br>Assessment of Implementation of<br>the Instructions Issued Reports to<br>be submittted by the<br>Inspecting<br>officers of the Banks concerned                                 |
| 139 | DBOD.No.Hin.BC.16/<br>C.486-75   | February 25,<br>1975  | Progressive Use of Hindi in Banks                                                                                                                                                                                        |
| 140 | DBOD.No.Hin.B.C.21/<br>C.486-75  | March 12,<br>1975     | Progressive use of Hindi in Banks                                                                                                                                                                                        |
| 141 | DBOD.No.Hin.BC.51/<br>C.486-75   | July 02,<br>1975      | Progressive Use of Hindi in Banks                                                                                                                                                                                        |
| 142 | DBOD.No.Hin.BC.77/<br>C.486-75   | October 01,<br>1975   | Progressive use of Hindi in Banks<br>-<br>Annual Assessment Report for<br>the Year 1974-75                                                                                                                               |

| 143 | DBOD.No.Hin.BC.88/<br>C.486-75      | October 16,<br>1975  | Progressive use of Hindi in Banks<br>-<br>Discussions<br>with<br>the<br>Representatives of Public Sector<br>Banks                                                                                                                                                                    |
|-----|-------------------------------------|----------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 144 | DBOD.No.Hin.BC.42/<br>C.486-76      | April 01,<br>1976    | Progressive use of Hindi in Banks                                                                                                                                                                                                                                                    |
| 145 | DBOD.No.Hin.BC.90/<br>C.486-76      | August 06,<br>1976   | Committee<br>of<br>Parliament<br>on<br>Official Language Constituted in<br>accordance with the Provisions of<br>Section 4 of the Official Languages<br>Act,1963                                                                                                                      |
| 146 | DBOD.No.Hin.BC.95/<br>C.486-76      | August 17,<br>1976   | Progressive use of Hindi in Banks                                                                                                                                                                                                                                                    |
| 147 | DBOD.No.Hin.BC.132/<br>C.486(C)-76  | November 22,<br>1976 | Use of Hindi in Banks -<br>Minutes of<br>the First Meeting of the Official<br>Languages<br>Implementation<br>Committee in the Department of<br>Banking<br>Operations<br>and<br>Development, Reserve Bank of<br>India, Bombay held on the 26th<br>October, 1976                       |
| 148 | DBOD.No.Hin.BC.27/<br>C.486(C)77    | March 02,<br>1977    | Minutes of the Second Quarterly<br>Meeting of the Official Languages<br>Implementation Committee of the<br>Department of Banking Operations<br>and Development, Bombay held at<br>Mahabank<br>Training<br>College<br>of<br>Bank of Maharashtra, Poona on<br>the 26th February, 1977. |
| 149 | DBOD.No.Hin.BC.101/<br>C.486-77     | August 11,<br>1977   | Use of Hindi in Banks -<br>Views on<br>the Language, Standard, etc., of<br>the Hindi Periodicals                                                                                                                                                                                     |
| 150 | DBOD.No.Hin.BC.102/<br>C.486-77     | August 12,<br>1977   | Use of Hindi in Banks -<br>Exemption<br>from<br>Obligatory<br>-<br>In-service<br>Training in Hindi                                                                                                                                                                                   |
| 151 | DBOD.No.Hindi.BC.13/<br>C.486(C)-78 | January 27,<br>1978  | Minutes of the Third Meeting of the<br>Official Languages Implementation<br>Committee of the Department of<br>Banking<br>Operations<br>and<br>Development<br>Reserve<br>Bank<br>of<br>India, Central Office, Bombay held<br>at Bombay the 6th January, 1978                          |
| 152 | DBOD.No.Hin.BC.140/<br>C.486-78     | October 13,<br>1978  | Use of Hindi in the Banks                                                                                                                                                                                                                                                            |
| 153 | DBOD.No.Hindi.BC.153/<br>C.486-78   | November 03,<br>1978 | Use of Hindi in Banks                                                                                                                                                                                                                                                                |

| 154 | DBOD.No.Hindi.BC.12/<br>C.486-79    | January 16,<br>1979  | Use of Hindi in Banks -<br>Features<br>Observed<br>in<br>the<br>Quarterly<br>Progress Reports Received from<br>the Banks                                                                                                                           |
|-----|-------------------------------------|----------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 155 | DBOD.No.Hindi.BC.77/<br>C.486-79    | June 05,<br>1979     | Hindi<br>Salahkar<br>Samiti<br>in<br>the<br>Ministry<br>of<br>Finance<br>-<br>Implementation of the decisions<br>taken in the 3rd meeting held on<br>17th March, 1979                                                                              |
| 156 | DBOD.No.Hindi.BC-117/<br>C.486-79   | August 14,<br>1979   | Use of Hindi in the Banks -<br>Filling<br>of Pass Books in Hindi                                                                                                                                                                                   |
| 157 | DBOD.Hindi.No.BC.178/<br>C.486-79   | December 10,<br>1979 | Use of Hindi in Banks -<br>Hindi<br>Training of Bank Employees                                                                                                                                                                                     |
| 158 | DBOD.No.Hindi.BC.11/<br>C.486-80    | January 15,<br>1980  | Complusory In-Service Training in<br>Hindi<br>-<br>Exemption<br>from<br>the<br>Training in Hindi on the Grounds of<br>Age                                                                                                                          |
| 159 | DBOD.No.Hindi.BC.26/<br>C.486-80    | February 18,<br>1980 | Availability of Suitable Staff for the<br>Journals Published by the Ministry<br>of Information and Broadcasting<br>and Other Ministries/Departments<br>and to Grant them Pay-scales etc.<br>at par with their Counterparts for<br>English Journals |
| 160 | DBOD.No.Hindi.BC.68/<br>C.486-80    | May 17,<br>1980      | Execution of Translation Work on<br>Honorarium basis in Bank Offices<br>where no Hindi Staff has been<br>provided                                                                                                                                  |
| 161 | DBOD.No.Hindi.BC-77/<br>C.486(C)-80 | June 20,<br>1980     | Use of Hindi in Banks -<br>Official<br>Languages<br>Implementation<br>Committee of the Department of<br>Banking<br>Operations<br>and<br>Development, Reserve Bank of<br>India, Central Office, Bombay 400<br>005                                   |
| 162 | DBOD.No.Hindi.BC.90/<br>C486(N)-80  | August 04,<br>1980   | Evaluation<br>Committee<br>(Official<br>Language<br>Implementation)<br>-<br>Follow-up<br>Action<br>on<br>the<br>Recommendations of                                                                                                                 |
| 163 | DBOD.No.Hindi.BC.47/<br>C.486(C)-84 | May 24,<br>1984      | Use of Hindi in Banks -<br>IV O.L.<br>Conference -<br>Follow-up Action                                                                                                                                                                             |
| 164 | DBOD.No.Hindi.BC.51<br>C.486-(N)-84 | May 28,<br>1984      | Scheme for Granting Awards on<br>Essays Originally Written in Hindi<br>on Financial Subjects                                                                                                                                                       |

| 165 | DBOD.No.Hindi.BC.67/<br>C.496(C)-84 | July 20,<br>1984     | Use of Hindi in Banks -<br>4th O.L.<br>Conference -<br>Follow-up Action                                                                                                                                |
|-----|-------------------------------------|----------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 166 | DBOD.No.Hindi.BC.77/<br>C.486-84    | August 08,<br>1984   | Use of Hindi in Banks -<br>Follow<br>Uniformity in Terminology                                                                                                                                         |
| 167 | DBOD.No.Hindi.BC.85/<br>C.486(N)-84 | August 21,<br>1984   | Use of Hindi in Banks -<br>Follow-up<br>Action<br>on<br>the<br>Minutes<br>of<br>the<br>Seventh<br>Meeting<br>of<br>the<br>Hindi<br>Salahkar Samiti of the Ministry of<br>Finance held on 23rd May 1984 |
| 168 | DBOD.No.Hindi.567/<br>C.486-84      | December 29,<br>1984 | Notifying<br>the<br>Names<br>of<br>Branches/Offices under Rule 10(4)<br>of Official Language Rule, 1976                                                                                                |
| 169 | DBOD.No.Hindi.BC.7/<br>C.486-85     | January 25,<br>1985  | Use of Hindi in Banks -<br>Hindi<br>Section<br>in<br>Publications/House<br>Journals                                                                                                                    |
| 170 | DBOD.No.Hindi.BC.8<br>C-486-85      | January 29,<br>1985  | Use of Hindi in the Banks -<br>Minutes<br>of the 34th Meeting of the Official<br>Languages<br>Implementation<br>Committee of Banking Division                                                          |
| 171 | DBOD.No.Hindi.BC.22/<br>C.486-85    | March 04,<br>1985    | Use of Hindi in the Banks -<br>Balance<br>Sheet and Profit and Loss Account<br>-<br>Proforma                                                                                                           |
| 172 | DBOD.No.Hindi.BC.7/<br>C.486-86     | January 27,<br>1986  | Use<br>of<br>Hindi<br>in<br>Banks<br>-<br>Bilingualisation<br>of<br>Letter-heads,<br>etc.                                                                                                              |
| 173 | DBOD.No.Hindi.BC.8/<br>C.486-86     | January 28,<br>1986  | Use of Hindi in Banks -<br>Purchase<br>of Hindi Books of General Interest<br>for Hindi Libraries Set up in Banks'<br>Offices                                                                           |
| 174 | DBOD.No.Hindi.BC.29/<br>C.496-86    | March 07,<br>1986    | Use<br>of<br>Hindi<br>in<br>Banks<br>-<br>Bilingualisation of Letter Heads,<br>etc.                                                                                                                    |
| 175 | DBOD.No.Hindi.BC.62/<br>C.486(C)-86 | May 28,<br>1986      | Official Languages Implementation<br>Committee<br>-<br>28th<br>Meeting<br>-<br>Follow-up Action                                                                                                        |
| 176 | DBOD.No.Hindi.BC.63/<br>C.486(C)-86 | May 28,<br>1986      | Minutes of 28th Meeting of the<br>Official Languages Implementation<br>Committee of the Department of<br>Banking<br>Operations<br>and<br>Development, Reserve Bank of<br>India -<br>Follow-up Action   |
| 177 | DBOD.No.Hindi.BC.73/<br>C.486-86    | July 02,<br>1986     | Use<br>of Hindi in Banks -<br>Revised<br>Proforma for Quarterly Progress<br>Reports                                                                                                                    |

| 178 | DBOD.No.Hindi.BC.76/<br>C.486-86       | July 12,<br>1986      | Use<br>of<br>Hindi<br>in<br>Banks<br>-<br>Bilingualisation of Stationery Items<br>including<br>Pay-in-Slips,<br>Traveller<br>Cheques, Cheque Form, etc.                                                     |
|-----|----------------------------------------|-----------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 179 | DBOD.No.Hindi.BC.97/<br>C.486(Q)-86    | September 12,<br>1986 | Hindi Teaching Scheme of the<br>Government of India                                                                                                                                                         |
| 180 | DBOD.No.Hindi.BC.19/<br>C.486-87       | August 07,<br>1987    | Provision and Use of only Bilingual<br>Electronic Typewriters in Central<br>Govt.<br>Ministries/Departments/Attached<br>and<br>Subordinate<br>Offices/Govt.<br>Undertakings<br>and<br>Nationalised<br>Banks |
| 181 | DBOD. No.Hindi.317/<br>C.486(Q)-87     | September 21,<br>1987 | Clarification regarding Exemption<br>from Obligatory In-service Training<br>in Hindi                                                                                                                        |
| 182 | DBOD.No.Hindi.BC.65/<br>C.486(T)-87    | November 24,<br>1987  | Meetings<br>of<br>the<br>Town<br>Official<br>Languages<br>-<br>Implementation<br>Commitees -<br>Regular Participation<br>of Member Offices Required                                                         |
| 183 | DBOD.No.Hindi.BC.76/<br>C.486-87       | December 23,<br>1987  | Use of Hindi in Training Institutes<br>of Banks                                                                                                                                                             |
| 184 | DBOD.No.Hindi.BC.86/<br>C.486(N)-87/98 | February 03,<br>1988  | Use of Hindi in Banks -<br>Inspection<br>of<br>Hindi<br>Work<br>Done<br>by<br>Bank<br>Branches and Comments thereon<br>in the Inspection Reports                                                            |
| 185 | DBOD.No.Hindi.57/<br>C.486-88          | February 09,<br>1988  | Use of Hindi in the Banks -<br>Hindi<br>Training<br>-<br>Achievement<br>and<br>Difficulties                                                                                                                 |
| 186 | DBOD.No.Hindi.BC.123/<br>C.486-88      | April 06,<br>1988     | Use<br>of<br>Hindi<br>in<br>Banks<br>-<br>Arrangements<br>for<br>Imparting<br>Training through Hindi Medium in<br>the Training Institutes                                                                   |
| 187 | DBOD.No.Rajbhasha.585/<br>C.486(C)-89  | January 27,<br>1989   | Hindi Training                                                                                                                                                                                              |
| 188 | DBOD.No.Rajbhasha.750/<br>C.486-89     | June 07,<br>1989      | Use of Hindi in the Branches of<br>Indian Banks Situated in Foreign<br>Countries                                                                                                                            |
| 189 | DBOD.No.Rabha.BC.29/<br>C.486(53)-91   | September 24,<br>1991 | Use of Hindi in Banks -<br>Meeting of<br>Official Language Implementation<br>Committee (OLIC) of Public Sector<br>Banks                                                                                     |

| 190 | DBOD. No.Rabha 1/<br>06.02.01/92   | July 01,<br>1992      | Regarding the implementation of<br>the decision of the government on<br>the recommendation made by PC<br>on OL                                                     |
|-----|------------------------------------|-----------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 191 | DBOD.No.BC.55/<br>06.02.05/92      | November 27,<br>1992  | Quarterly Progress Report (QPR)<br>regarding Progressive Use of Hindi<br>in<br>Banks/Financial<br>Institutions<br>Introduction of Revised Proforma                 |
| 192 | DBOD.No.BC.120/<br>06.02.07/93     | May 17,<br>1993       | Use of Hindi in Banks-<br>Compilation<br>of Hindi Words Used in Different<br>Indian Languages                                                                      |
| 193 | DBOD.No.BC.86/<br>06.02.01/94      | July 11,<br>1994      | Progressive Use of Hindi in Banks<br>-<br>Issue and Acceptance of the<br>Cheques Drawn/ Signed in Hindi                                                            |
| 194 | DBOD.No.BC.27/<br>06.02.01/96      | March 25,<br>1996     | Use of Hindi in Banks -<br>Follow-up<br>of Decisions Taken/Suggestions<br>Given in the 66th Meeting of OLIC<br>of Public Sector Banks Held on<br>12th January 1996 |
| 195 | DBOD.No.BC.No.63/<br>06.02.01/96   | May 24,<br>1996       | Minutes of 67th Meeting of Official<br>Languages<br>Implementation<br>Committee of Public Sector Banks<br>-<br>Action Plan for Progressive Use<br>of Hindi         |
| 196 | DBOD.No.BC.62/<br>06.02.01/98      | June 26,<br>1998      | 75th Meeting of Official Language<br>Implementation<br>Committee<br>of<br>Public Sector Banks -<br>Follow-up<br>Action                                             |
| 197 | DBOD.No.06/<br>06.02.01/98         | July 04,<br>1998      | 75th COLIC Meeting of PSBs -<br>Follow up Action                                                                                                                   |
| 198 | DBOD.No.38/<br>06.11.04/99-2000    | July 26,<br>1999      | Notification of Branches/ Offices<br>under 10(4) of OL Rule, 1976                                                                                                  |
| 199 | DBOD.No.51/<br>06.03.05/99-2000    | August 03,<br>1999    | Preparation<br>of<br>banner<br>and<br>invitation of seminars in bilingual<br>form                                                                                  |
| 200 | DBOD.BC.80/<br>06.11.04/98-99      | August 12,<br>1999    | Implementation<br>of<br>Rajbhasha<br>Policy in Banks -<br>Celebration of<br>Golden Jubilee Year of Rajbhasha<br>(Hindi)                                            |
| 201 | DBOD.BC.122/<br>06.11.04/99-2000   | November 05,<br>1999  | Technological<br>Problems<br>being<br>faced in Sending Telegrams in<br>Devanagari (Hindi)                                                                          |
| 202 | DBOD.No.747/<br>06.11.04/99-2000   | February 29,<br>2000  | Implementation<br>of<br>proper<br>information system in banks                                                                                                      |
| 203 | DBOD.No.155/<br>06.02.01/2000-2001 | September 08,<br>2000 | 20th<br>Rajbhasha<br>Conference<br>of<br>public sector banks -<br>Proposal<br>Nos. 10 and 11                                                                       |

| 204 | DBOD.BC.54/<br>06.11.04/2000-01           | November 27,<br>2000 | Use of Hindi in Banks -<br>Preparing<br>Plan<br>for<br>providing<br>Computer<br>Training though Hindi Medium                                         |
|-----|-------------------------------------------|----------------------|------------------------------------------------------------------------------------------------------------------------------------------------------|
| 205 | DBOD.No.257/<br>06.11.04/2001-02          | December 10,<br>2001 | Regarding<br>implementation<br>of<br>guidelines<br>regarding<br>staffing<br>pattern<br>of<br>Official<br>Language<br>Officers in Public Sector Banks |
| 206 | DBOD.No.308/<br>06.02.01/2001-02          | January 18,<br>2002  | Work in Hindi in Computer                                                                                                                            |
| 207 | DBOD.No.610/<br>06.02.01/2002-03          | April 12,<br>2003    | Work<br>in<br>Hindi<br>in<br>Computer<br>regarding Report in Hindi -<br>Total<br>number of Offices                                                   |
| 208 | DBOD.No. Raj.14852/<br>06.01.002/ 2011-12 | April 02,<br>2012    | Writing<br>English<br>Alphabets<br>in<br>Devanagari<br>Script<br>-<br>Standardization                                                                |
