| Sr  | Circular No.                      | Date                 | Subject                                                                                                                                                                           |
|-----|-----------------------------------|----------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| No. |                                   |                      |                                                                                                                                                                                   |
|----|----------------------------------------|----------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 36 | IECD.No.EFD.BC.185/<br>819-POL-ECR-87  | October 26,<br>1987  | Export Credit (Interest Subsidy)<br>Scheme,<br>1968<br>-<br>Advances<br>to<br>Exporters of Engineering Goods<br>against<br>their<br>Claims<br>for<br>Reimbursement<br>of<br>Difference<br>between<br>Domestic<br>and<br>International Price of Steel, etc.<br>under<br>the<br>International<br>Price<br>Reimbursement Scheme (IPRS) |
| 37 | IECD.No.EFD.BC.167/<br>819-POL-ECR-87  | November 30,<br>1987 | Export Credit (Interest Subsidy)<br>Scheme,<br>1968<br>-<br>Extension<br>of<br>Packing Credit Beyond 180 days -<br>Disposal of Applications Received<br>from Branches of Banks                                                                                                                                                      |
| 38 | IECD.No.EFD.192/<br>819-POL-ECR-87     | December 02,<br>1987 | Export Credit (Interest Subsidy)<br>Scheme, 1968 -<br>Irregularities in<br>Subsidy Claims                                                                                                                                                                                                                                           |
| 39 | IECD.No.EFD.BC.220/<br>819-POL-ECR-88  | October 17,<br>1988  | Export Credit (Interest Subsidy)<br>Scheme, 1968 -<br>Export by Seed<br>Processing<br>Units<br>and<br>Food<br>Processing Units                                                                                                                                                                                                      |
| 40 | IECD.No.EFD.BC.236/<br>819-POL-ECR-819 | February 16,<br>1989 | Export Credit (Interest Subsidy)<br>Scheme, 1968 -<br>Packing Credit<br>Advances -<br>Financing of Exports of<br>Readymade Garments                                                                                                                                                                                                 |
| 41 | IECD.No.EFD.BC.244/<br>819-POL-ECR-89  | March 13,<br>1989    | Packing Credit for Imports against<br>Entitlements<br>under<br>Advance<br>Licence/Import-Export Pass Book<br>Scheme                                                                                                                                                                                                                 |
| 42 | IECD.No.EFD.BC.248/<br>819-POL-ECR-89  | March 31,<br>1989    | Export Credit (Interest Subsidy)<br>Scheme, 1968 -<br>Packing Credit<br>Advances -<br>Financing of Exports of<br>Silk Fabrics, Silk Piece Goods and<br>Silk Made-ups                                                                                                                                                                |
| 43 | IECD.No.EFD.BC.10/<br>819-POL-ECR-89   | October 18,<br>1989  | Export Credit (Interest Subsidy)<br>Scheme, 1968 -<br>Rates of Interest<br>Subsidy                                                                                                                                                                                                                                                  |
| 44 | IECD.No.EFD.20/<br>819-POL-ECR-90      | February 02,<br>1990 | Export Credit (Interest Subsidy)<br>Scheme, 1968 -<br>Irregularities in<br>Subsidy Claims                                                                                                                                                                                                                                           |
| 45 | IECD.No.EFD.BC.5/<br>819-POL-ECR-90    | July 20,<br>1990     | Export Credit (Interest Subsidy)<br>Scheme,<br>1968<br>-Packing<br>Credit<br>Advances -<br>Financing of Exports of<br>Readymade Garments                                                                                                                                                                                            |

| 46 | IECD.EFD.No.BC.25/<br>819-POL-ECR-90/91   | December 01,<br>1990  | Export Credit (Interest Subsidy)<br>Scheme, 1968 -<br>Packing Credit -<br>Financing of Exports of Tobacco                                                                                       |
|----|-------------------------------------------|-----------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 47 | IECD.No.EFD.BC.33/<br>819/POL-ECR-91      | January 09,<br>1991   | Export Credit<br>(Interest Subsidy)<br>Scheme, 1968 -<br>Rates of Interest<br>Subsidy in respect of Pre-shipment<br>and Post-shipment Credits against<br>Cash Incentives, Duty Drawback<br>etc. |
| 48 | IECD.13/EFD/377/<br>ASF-91/92             | August 14,<br>1991    | Export Credit (Interest Subsidy)<br>Scheme 1968 -<br>Submission of<br>Interest Subsidy Claims                                                                                                   |
| 49 | DBOD.No.Sch.BC.51/<br>C.96-71             | April 16,<br>1971     | Packing<br>Credits<br>and<br>Post<br>shipment Credits -<br>Interest Rate<br>Structure                                                                                                           |
|    | DBOD.No.Sch.BC.52/<br>C.96-71             |                       |                                                                                                                                                                                                 |
| 50 | DBOD.No.Sch.BC.63/<br>C.96-73             | May 31,<br>1973       | Directive<br>on<br>Interest<br>Rates<br>on<br>Advances                                                                                                                                          |
|    | DBOD.No.Sch.BC.62/<br>C.96-73             |                       |                                                                                                                                                                                                 |
| 51 | DBOD.No.CAS.B.C.48/<br>C.446-76           | April 09,<br>1976     | Credit<br>Authorisation<br>Scheme<br>-<br>Differential Rates                                                                                                                                    |
| 52 | DBOD.No.Dir.BC.114/<br>C.96-78            | September 01,<br>1978 | Interest on Overdue Inland bills                                                                                                                                                                |
|    |                                           |                       |                                                                                                                                                                                                 |
| 53 | DBOD.No.Dir.BC.141/<br>C.218-79           | September 13,<br>1979 | Interest Rate on Advances against<br>Sensitive Commodities                                                                                                                                      |
|    | DBOD.No.Dir.BC.140/<br>C.218(a)-79        |                       |                                                                                                                                                                                                 |
| 54 | DBOD.No.Dir.BC.138/<br>C.96-79            | September 13,<br>1979 | Ceiling Rate on Advances                                                                                                                                                                        |
|    | DBOD.No.Dir.BC.139/                       |                       |                                                                                                                                                                                                 |
| 55 | C.96-79<br>DBOD.No.Dir.BC.164/<br>C.96-79 | October 31,<br>1979   | Ceiling Rate on Advances -<br>Credit<br>to Public Sector Agencies                                                                                                                               |
|    | DBOD.No.Dir.BC.165/<br>C.96-79            |                       |                                                                                                                                                                                                 |
| 56 | DBOD.No.Dir.BC.43/<br>C.96-90             | March 27,<br>1980     | Interest Rate on Overdue Inland<br>Bills                                                                                                                                                        |
| 57 | DBOD.No.BP.BC.80/<br>469(f)-80            | July 02,<br>1980      | Interest Tax Act, 1974                                                                                                                                                                          |
|    | DBOD.No.Dir.BC.80/<br>C.469(I)-80         |                       |                                                                                                                                                                                                 |

| 59 | DBOD.No.Dir.BC.35/<br>C.96-81                                       | March 07,<br>1981    | Interest Rates on Advances                                                                                                                                                                                                          |
|----|---------------------------------------------------------------------|----------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 60 | ACD.Plan.(IFS)825/<br>PR.474-80/81                                  | April 02,<br>1981    | Interest Rates on Advances                                                                                                                                                                                                          |
| 61 | DBOD.No.Dir.BC.50/<br>C.96-81                                       | May 02,<br>1981      | Interest<br>Rates<br>on<br>Advances<br>-<br>Clarifications                                                                                                                                                                          |
| 62 | ACD.OPR.5388/<br>A.35-80/81                                         | May 16,<br>1981      | Interest Rates on Advances                                                                                                                                                                                                          |
| 63 | ACD.Plan.(IFS)1042/<br>HG.9-80/81                                   | June 01,<br>1981     | Interest Rates on Advances                                                                                                                                                                                                          |
| 64 | ACD.Plan.(IFS)1099/<br>HG.-9-80/81                                  | June 11,<br>1981     | Interest Rates on Advances                                                                                                                                                                                                          |
| 65 | DBOD.No.Dir.BC.80/<br>C.96-81                                       | June 17,<br>1981     | Rate of Interest on Advances to<br>Jute Corporation of India (JCI) and<br>Cotton Corporation of India (CCI)                                                                                                                         |
| 66 | DBOD.No.B.P.BC.81/<br>C.464(A)-81                                   | June 19,<br>1981     | Interest Rates on Advances                                                                                                                                                                                                          |
| 67 | ACD.Plan.(IFS)80/<br>HG.-9/81-82                                    | July 24,<br>1981     | Interest Rates on Advances                                                                                                                                                                                                          |
| 68 | DBOD.No.BP.BC.139/<br>C.464(A)-81                                   | November 13,<br>1981 | Interest Rates on Advances                                                                                                                                                                                                          |
| 69 | DBOD.No.Dir.BC.43/<br>C.96-82                                       | April 26,<br>1982    | Interest Rates on Advances -<br>State<br>Level Agro Industries Corporations<br>and<br>State<br>Apex<br>Co-operative<br>Marketing Federations                                                                                        |
| 70 | DBOD.No.Dir.BC.48/<br>C.96-83                                       | June 07,<br>1983     | Interest Rates on Advances                                                                                                                                                                                                          |
| 71 | DBOD.UBD.(DC)850/<br>HG.-9-83/84<br>DBOD.UBD.(DC)851/<br>HG.-983/84 | December 24,<br>1983 | Interest Rates on Advances                                                                                                                                                                                                          |
| 72 | DBOD.No.Dir.BC.87/<br>C.218-84                                      | August 22,<br>1984   | Interest Rate on Advances -<br>Units<br>Producing & Distributing Seeds                                                                                                                                                              |
| 73 | DBOD.No.Dir.BC.119/<br>C.96/84                                      | December 11,<br>1984 | Approval<br>for<br>Relaxation<br>in<br>the<br>Operation<br>of<br>Reserve<br>Bank<br>of<br>India<br>Directives<br>on<br>Rates<br>of<br>Interest<br>under<br>Nursing<br>Programmes in respect of Sick<br>Small Scale Industrial Units |
| 74 | UBD.DC.1283/<br>HG.9-84/85                                          | March 23,<br>1985    | Interest Rates on Advances                                                                                                                                                                                                          |
| 75 | DBOD.No.Dir.BC.14/<br>C.96-86                                       | February 10,<br>1986 | Interest<br>Rates<br>on<br>Advances<br>-<br>Chart Indicating Rates of Interest<br>Prescribed by the Reserve Bank                                                                                                                    |
| 76 | DBOD.No.Dir.BC.38/<br>C.96-86                                       | March 24,<br>1986    | Interest<br>Rates<br>on<br>Advances<br>-<br>Effect<br>of<br>Revision<br>thereto<br>on<br>Existing Advances                                                                                                                          |

| 77 | DBOD.No.Dir.BC.111/<br>C.96-86                                   | October 14,<br>1986   | Interest<br>Rates<br>on<br>Advances<br>-<br>Computation<br>of<br>Total<br>Limits<br>-<br>Clarifications                                                                                             |
|----|------------------------------------------------------------------|-----------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 78 | DBOD.No.Dir.BC.37/<br>C.96-88                                    | October 08,<br>1988   | Interest<br>Rate<br>on<br>Advances<br>-<br>Advances to Central and State<br>Government Agencies Entrusted<br>with Procurement and Distribution<br>of Commodities for Sale on a<br>Commercial Basis. |
| 79 | DBOD.No.Dir.BC.53/<br>C.96-88                                    | December 17,<br>1988  | Interest Rates on Advances -<br>Bill<br>Finance                                                                                                                                                     |
| 80 | DBOD.No.Dir.BC.143/<br>C.96-89                                   | June 21,<br>1989      | Interest<br>Rates<br>on<br>Advances<br>-<br>Discounting of Bills                                                                                                                                    |
| 81 | DBOD.No.Dir.BC.83/<br>C.347-90                                   | March 12,<br>1990     | Interest Rates on Deposits and<br>Advances                                                                                                                                                          |
| 82 | DBOD.No.Dir.BC.18/<br>C.96-90<br>DBOD.No.Dir.BC.19/<br>C.96-90   | September 21,<br>1990 | Interest Rates on Advances                                                                                                                                                                          |
| 83 | DBOD.No.Dir.BC.31/<br>C.96-90<br>DBOD.No.Dir.BC.32/<br>C.96-90   | October 09,<br>1990   | Interest Rates on Advances                                                                                                                                                                          |
| 84 | UBD.(PCB)47/<br>DC.HG.9-90/91                                    | February 11,<br>1991  | Interest<br>Rates<br>on<br>Advances<br>-<br>Accounts<br>where<br>Refinance<br>is<br>Availed from SIDBI                                                                                              |
| 85 | DBOD.No.Dir.BC.85/<br>C.96-91                                    | February 19,<br>1991  | Interest<br>Rates<br>on<br>Advances<br>-<br>Discounting of Bills                                                                                                                                    |
| 86 | DBOD.No.Dir.BC.86/<br>C.96-91                                    | February 22,<br>1991  | Interest Rates on Advances                                                                                                                                                                          |
